"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"GNG12";7,72871473359027e-10;8,42789693539347e-09;8,85463789384453e-10
"WLS";0;0;6,63359416964715e-17
"DEPDC1";3,79072728916907e-09;5,21513676425833e-09;3,7870757558862e-11
"LRRC7";2,38969297865353e-05;2,27200650854805e-05;2,81786281278383e-05
"NEGR1";2,61010625180908e-06;1,96190537498399e-06;6,56537028263446e-07
"SLC44A5";2,62532505173025e-05;1,8658132239369e-05;1,39020808252975e-05
"MSH4";2,39150073220404e-05;1,67612983725329e-05;1,99147505378602e-05
"ST6GALNAC3";1,53282220289652e-08;9,76684240328041e-11;2,65654834625939e-11
"ST6GALNAC5";3,36472410870975e-07;1,00530952873608e-06;3,56782027539065e-06
"AK5";9,9912557109616e-10;3,70328704579759e-11;1,24663010114188e-11
"IFI44L";1,0292248880056e-06;7,33843701892741e-07;6,0948980774645e-07
"LPHN2";3,83368892187264e-16;3,04700709108374e-17;2,42161087983559e-30
"CTBS";8,41588687331747e-07;6,2516654702529e-07;1,8822601728987e-07
"LPAR3";1,60660373893506e-17;1,10311556700271e-11;1,13862872664464e-14
"ZNHIT6";4,98968064014405e-05;4,88138385442493e-05;4,96409703002566e-05
"COL24A1";1,15932080661518e-08;6,24685521566359e-11;2,42229926601885e-09
"CLCA2";7,23475187542106e-06;9,58443986999097e-06;1,35091765576058e-05
"CLCA1";3,66819494858212e-06;5,61875161003807e-06;1,07409524509194e-05
"LMO4";6,13226025601685e-06;5,04745148667447e-06;9,0768351511415e-07
"RBMXL1";3,87383032859542e-05;2,87678433691573e-05;3,17725063054379e-05
"GBP1";7,9491367730522e-06;1,17672712041509e-05;7,52592681677003e-06
"GBP2";3,06752247686715e-07;3,02211497678029e-07;2,90376488694446e-09
"GBP7";1,93163108774819e-11;6,74409461813963e-09;9,80578793183553e-08
"GBP5";1,11576499577683e-06;7,73044365348444e-07;2,25456279728504e-07
"LRRC8D";1,83348730141331e-08;4,97742655836737e-07;7,1016907216905e-07
"ZNF326";2,08393528868642e-05;2,60606875628611e-05;1,89446791804015e-05
"CDC7";1,6188150378793e-05;1,31271640923777e-05;6,74414968277979e-06
